,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
82,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n5-128kb-24h,acecov_n5,curl_curl_fuzzer_http,2024-03-30 18:54:52.630100,2024-03-31 19:05:11.080800,1,0,6926,,,0
170,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n5-128kb-24h,acecov_n5,curl_curl_fuzzer_http,2024-03-30 18:54:52.630100,2024-03-31 19:05:11.080800,1,900,9929,,,0
317,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n5-128kb-24h,acecov_n5,curl_curl_fuzzer_http,2024-03-30 18:54:52.630100,2024-03-31 19:05:11.080800,1,1800,10193,,,0
409,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n5-128kb-24h,acecov_n5,curl_curl_fuzzer_http,2024-03-30 18:54:52.630100,2024-03-31 19:05:11.080800,1,2700,10273,,,0
567,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n5-128kb-24h,acecov_n5,curl_curl_fuzzer_http,2024-03-30 18:54:52.630100,2024-03-31 19:05:11.080800,1,3600,10287,,,0
707,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n5-128kb-24h,acecov_n5,curl_curl_fuzzer_http,2024-03-30 18:54:52.630100,2024-03-31 19:05:11.080800,1,4500,10354,,,0
842,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n5-128kb-24h,acecov_n5,curl_curl_fuzzer_http,2024-03-30 18:54:52.630100,2024-03-31 19:05:11.080800,1,5400,10368,,,0
984,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n5-128kb-24h,acecov_n5,curl_curl_fuzzer_http,2024-03-30 18:54:52.630100,2024-03-31 19:05:11.080800,1,6300,10398,,,0
1069,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n5-128kb-24h,acecov_n5,curl_curl_fuzzer_http,2024-03-30 18:54:52.630100,2024-03-31 19:05:11.080800,1,7200,10415,,,0
1237,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n5-128kb-24h,acecov_n5,curl_curl_fuzzer_http,2024-03-30 18:54:52.630100,2024-03-31 19:05:11.080800,1,8100,10441,,,0
1343,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n5-128kb-24h,acecov_n5,curl_curl_fuzzer_http,2024-03-30 18:54:52.630100,2024-03-31 19:05:11.080800,1,9000,10447,,,0
1469,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n5-128kb-24h,acecov_n5,curl_curl_fuzzer_http,2024-03-30 18:54:52.630100,2024-03-31 19:05:11.080800,1,9900,10452,,,0
1590,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n5-128kb-24h,acecov_n5,curl_curl_fuzzer_http,2024-03-30 18:54:52.630100,2024-03-31 19:05:11.080800,1,10800,10458,,,0
1786,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n5-128kb-24h,acecov_n5,curl_curl_fuzzer_http,2024-03-30 18:54:52.630100,2024-03-31 19:05:11.080800,1,11700,10492,,,0
1849,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n5-128kb-24h,acecov_n5,curl_curl_fuzzer_http,2024-03-30 18:54:52.630100,2024-03-31 19:05:11.080800,1,12600,10508,,,0
