,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
80,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,0,6926,,,0
170,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,900,9900,,,0
286,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,1800,10188,,,0
419,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,2700,10263,,,0
609,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,3600,10290,,,0
683,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,4500,10297,,,0
802,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,5400,10316,,,0
937,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,6300,10332,,,0
1097,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,7200,10358,,,0
1207,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,8100,10368,,,0
1332,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,9000,10391,,,0
1461,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,9900,10412,,,0
1592,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,10800,10435,,,0
1714,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,11700,10446,,,0
1900,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,12600,10485,,,0
2020,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,13500,10490,,,0
2152,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,14400,10494,,,0
2233,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,15300,10496,,,0
2384,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,16200,10502,,,0
2514,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,17100,10509,,,0
2634,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,18000,10519,,,0
2761,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,18900,10520,,,0
2890,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,19800,10523,,,0
3042,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,20700,10523,,,0
3174,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,21600,10523,,,0
3296,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,22500,10530,,,0
3423,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,23400,10532,,,0
3548,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,24300,10550,,,0
3719,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,25200,10551,,,0
3823,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,26100,10551,,,0
3940,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,27000,10559,,,0
4047,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,27900,10559,,,0
4192,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,28800,10577,,,0
4327,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,29700,10577,,,0
4455,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,30600,10580,,,0
4579,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n4-128kb-24h,acecov_n4,curl_curl_fuzzer_http,2024-04-01 11:23:00.688658,2024-04-02 11:33:18.131441,1,31500,10582,,,0
