,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
2497,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,17100,10307,,,0
2645,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,18000,10313,,,0
2776,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,18900,10313,,,0
2924,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,19800,10315,,,0
3026,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,20700,10329,,,0
3160,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,21600,10341,,,0
3313,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,22500,10358,,,0
3408,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,23400,10377,,,0
3554,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,24300,10377,,,0
3688,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,25200,10378,,,0
